PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,DRAFT_ROUND,DRAFT_NUMBER
202697,Iman,Shumpert,Iman Shumpert,PG-SG,76.25,6' 4.25'',221.8,81.5,6' 9.5'',99.5,8' 3.5'',2011,1,17
202713,Kyle,Singler,Kyle Singler,SF,79.5,6' 7.5'',228,82.1,6' 10.1'',106,8' 10'',2011,2,33
202698,Chris,Singleton,Chris Singleton,SF,79.75,6' 7.75'',230.2,85,7' 1'',103.5,8' 7.5'',2011,1,18
12441,Jamie,Skeen,Jamie Skeen,PF,78.5,6' 6.5'',241.6,85.25,7' 1.25'',106.5,8' 10.5'',2011,-1,-1
202701,Nolan,Smith,Nolan Smith,PG,73.5,6' 1.5'',187.6,77.5,6' 5.5'',99,8' 3'',2011,1,21
12442,Gregory,Smith,Gregory Smith,PF-C,80,6' 8'',252.8,86.5,7' 2.5'',106.5,8' 10.5'',2011,-1,-1
12445,Malcolm,Thomas,Malcolm Thomas,PF,79.5,6' 7.5'',223,84.5,7' 0.5'',107.5,8' 11.5'',2011,-1,-1
202738,Isaiah,Thomas,Isaiah Thomas,PG,68.75,5' 8.75'',186,73.75,6' 1.75'',91.5,7' 7.5'',2011,2,60
202717,Trey,Thompkins,Trey Thompkins,PF,80.5,6' 8.5'',239,85,7' 1'',107.5,8' 11.5'',2011,2,37
202684,Tristan,Thompson,Tristan Thompson,PF,79.5,6' 7.5'',227.4,85.25,7' 1.25'',108.5,9' 0.5'',2011,1,4
202691,Klay,Thompson,Klay Thompson,SG,77.75,6' 5.75'',205.6,81,6' 9'',103.5,8' 7.5'',2011,1,11
202719,Jeremy,Tyler,Jeremy Tyler,PF-C,81,6' 9'',262.4,89,7' 5'',110.5,9' 2.5'',2011,2,39
202696,Nikola,Vucevic,Nikola Vucevic,PF-C,82.25,6' 10.25'',259.8,88.5,7' 4.5'',112.5,9' 4.5'',2011,1,16
202689,Kemba,Walker,Kemba Walker,PG,71.5,5' 11.5'',184,75.5,6' 3.5'',91.5,7' 7.5'',2011,1,9
202716,Jordan,Williams,Jordan Williams,PF,79.75,6' 7.75'',247.2,84.25,7' 0.25'',106.5,8' 10.5'',2011,2,36
202682,Derrick,Williams,Derrick Williams,PF-SF,79.25,6' 7.25'',248.4,85.5,7' 1.5'',108,9' 0'',2011,1,2
203112,Quincy,Acy,Quincy Acy,PF,78.5,6' 6.5'',223.8,86.75,7' 2.75'',106.5,8' 10.5'',2012,2,37
203084,Harrison,Barnes,Harrison Barnes,SF-SG,79,6' 7'',227.8,83.25,6' 11.25'',101.5,8' 5.5'',2012,1,7
203115,Will,Barton,Will Barton,SG-SF,77,6' 5'',174.4,81.75,6' 9.75'',102.5,8' 6.5'',2012,2,40
203078,Bradley,Beal,Bradley Beal,SG,75.25,6' 3.25'',201.8,80,6' 8'',100,8' 4'',2012,1,3
12458,J'Covan,Brown,J'Covan Brown,PG,73,6' 1'',202.4,77.25,6' 5.25'',96,8' 0'',2012,-1,-1
203733,William,Buford,William Buford,SG-SF,76,6' 4'',214.6,81.5,6' 9.5'',102,8' 6'',2012,-1,-1
203109,Jae,Crowder,Jae Crowder,SF,76.75,6' 4.75'',241.2,81.25,6' 9.25'',99.5,8' 3.5'',2012,2,34
203099,Jared,Cunningham,Jared Cunningham,SG-PG,75.5,6' 3.5'',187.6,78.5,6' 6.5'',98,8' 2'',2012,1,24
203134,Marcus,Denmon,Marcus Denmon,SG,74.25,6' 2.25'',188.2,77,6' 5'',94.5,7' 10.5'',2012,2,59
203083,Andre,Drummond,Andre Drummond,C,81.75,6' 9.75'',278.6,90.25,7' 6.25'',109.5,9' 1.5'',2012,1,9
203119,Kim,English,Kim English,SG,76.5,6' 4.5'',192,78.5,6' 6.5'',98,8' 2'',2012,2,44
203105,Festus,Ezeli,Festus Ezeli,C-PF,81.75,6' 9.75'',264.2,89.75,7' 5.75'',108,9' 0'',2012,1,30
12467,Drew,Gordon,Drew Gordon,PF,80,6' 8'',239,83.5,6' 11.5'',103.5,8' 7.5'',2012,-1,-1
203254,JaMychal,Green,JaMychal Green,PF,80,6' 8'',217.4,86.25,7' 2.25'',106.5,8' 10.5'',2012,-1,-1
203110,Draymond,Green,Draymond Green,PF-SF,77.75,6' 5.75'',235.6,85.25,7' 1.25'',105,8' 9'',2012,2,35
203090,Maurice,Harkless,Maurice Harkless,SF,79.25,6' 7.25'',206.6,84,7' 0'',102.5,8' 6.5'',2012,1,15
203089,John,Henson,John Henson,PF,81,6' 9'',216,89,7' 5'',112,9' 4'',2012,1,14
203189,Tu,Holloway,Tu Holloway,PG,70.5,5' 10.5'',186.8,77.5,6' 5.5'',94.5,7' 10.5'',2012,-1,-1
203133,Robbie,Hummel,Robbie Hummel,SF,79.25,6' 7.25'',218,80.5,6' 8.5'',102,8' 6'',2012,2,58
203108,Bernard,James,Bernard James,PF,80.75,6' 8.75'',229.8,87,7' 3'',108.5,9' 0.5'',2012,2,33
203098,John,Jenkins,John Jenkins,SG,75.25,6' 3.25'',212,80.5,6' 8.5'',98,8' 2'',2012,1,23
203111,Orlando,Johnson,Orlando Johnson,SG,75.75,6' 3.75'',223.8,83.25,6' 11.25'',99,8' 3'',2012,2,36
203130,Darius,Johnson-Odom,Darius Johnson-Odom,SG,73.5,6' 1.5'',212,79,6' 7'',96,8' 0'',2012,2,55
203093,Terrence,Jones,Terrence Jones,PF-SF,80.25,6' 8.25'',252,86.25,7' 2.25'',107,8' 11'',2012,1,18
203158,Kevin,Jones,Kevin Jones,PF,78.25,6' 6.25'',251.2,85.5,7' 1.5'',105,8' 9'',2012,-1,-1
203103,Perry,Jones,Perry Jones,PF-SF,82.25,6' 10.25'',233.8,85.75,7' 1.75'',107,8' 11'',2012,-1,-1
203126,Kris,Joseph,Kris Joseph,SG,78,6' 6'',215,83,6' 11'',104,8' 8'',2012,2,51
203077,Michael,Kidd-Gilchrist,Michael Kidd-Gilchrist,SF,77.75,6' 5.75'',232.8,84,7' 0'',104.5,8' 8.5'',2012,1,2
203117,Doron,Lamb,Doron Lamb,SG-PG,75.25,6' 3.25'',199.4,78.75,6' 6.75'',98.5,8' 2.5'',2012,2,42
