,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
329,Jelani McCoy,1000000,1999,Center,58,12.9,7.7,33.0,1
330,Tracy McGrady,1767120,1999,Shooting Guard and Small Forward,79,31.1,13.1,9.0,2
331,Jeff McInnis,460000,1999,Point Guard and Shooting Guard,25,23.9,7.7,37.0,3
332,Roshown McLeod,914760,1999,Small Forward,44,19.5,5.3,20.0,1
333,Ron Mercer,2298840,1999,Small Forward and Shooting Guard,68,34.9,8.1,6.0,2
334,Andre Miller,1682280,1999,Point Guard and Shooting Guard,82,25.6,13.6,8.0,0
335,Cuttino Mobley,385000,1999,Shooting Guard and Point Guard,81,30.8,10.6,41.0,1
336,Nazr Mohammed,690960,1999,Center,28,6.8,3.3,29.0,1
337,Steve Nash,5500000,1999,Point Guard,56,27.4,8.8,15.0,3
338,Rasho Nesterovic,1050240,1999,Center,82,21.1,5.7,17.0,1
339,Dirk Nowitzki,1583040,1999,Power Forward and Center,82,35.9,11.2,9.0,1
340,Jermaine O'Neal,5075000,1999,Power Forward and Center,70,12.2,7.6,17.0,3
341,Lamar Odom,2445480,1999,Small Forward and Power Forward,76,36.4,11.3,4.0,0
342,Michael Olowokandi,3456240,1999,Center,80,31.2,6.5,1.0,1
343,Scott Padgett,679800,1999,Power Forward,47,9.2,4.5,28.0,0
344,Anthony Parker,980280,1999,Shooting Guard and Small Forward,16,11.6,7.0,21.0,2
345,Andrae Patterson,385000,1999,Power Forward,5,3.8,4.9,46.0,1
346,Ruben Patterson,900000,1999,Shooting Guard and Small Forward,81,25.9,10.7,31.0,1
347,Paul Pierce,1503960,1999,Shooting Guard and Small Forward,73,35.4,12.8,10.0,1
348,Scot Pollard,1063680,1999,Center,76,17.5,9.7,19.0,2
349,Scot Pollard,1000000,1999,Center,76,17.5,9.7,19.0,2
350,Mark Pope,460000,1999,Small Forward and Power Forward,0,0.0,0.0,52.0,3
351,James Posey,974520,1999,Power Forward and Shooting Guard and Small Forward,81,25.3,8.0,18.0,0
352,Vitaly Potapenko,3810000,1999,Center,79,22.7,8.8,12.0,3
353,Laron Profit,301875,1999,Small Forward and Shooting Guard and Point Guard,33,6.8,3.1,38.0,0
354,Aleksandar Radojevic,1325760,1999,Center,3,8.1,-1.0,12.0,0
355,Rodrick Rhodes,600000,1999,Small Forward and Shooting Guard,1,8.0,-13.2,24.0,2
356,Rodrick Rhodes,122000,1999,Small Forward and Shooting Guard,1,8.0,-13.2,24.0,2
357,Ryan Robertson,301875,1999,Shooting Guard,1,24.6,2.0,45.0,0
358,Roy Rogers,485000,1999,Power Forward,40,8.9,5.8,22.0,3
359,Malik Rose,2285000,1999,Small Forward and Power Forward,74,18.1,7.3,44.0,3
360,Michael Ruffin,401875,1999,Center and Power Forward,71,13.7,3.4,32.0,0
361,Ansu Sesay,535000,1999,Small Forward,0,0.0,0.0,30.0,1
362,Brian Skinner,843000,1999,Center and Power Forward,33,23.5,8.9,22.0,1
363,Charles Smith,779960,1999,Shooting Guard,0,0.0,0.0,26.0,2
364,Leon Smith,449920,1999,Center,0,0.0,0.0,29.0,0
365,Ryan Stack,385000,1999,Power Forward,25,7.9,-0.6,48.0,1
366,Vladimir Stepania,700320,1999,Center,30,6.8,-0.8,27.0,1
367,Peja Stojakovic,1310400,1999,Small Forward,74,23.6,11.8,14.0,3
368,Bruno Sundov,385000,1999,Center,14,4.3,0.7,35.0,1
369,Wally Szczerbiak,2011440,1999,Small Forward,73,29.7,9.8,6.0,0
370,Johnny Taylor,1172400,1999,Small Forward,6,5.5,2.3,17.0,2
371,Maurice Taylor,1367400,1999,Small Forward and Center and Power Forward,62,35.9,8.6,14.0,2
372,Jason Terry,1468920,1999,Point Guard and Shooting Guard,81,23.3,9.9,10.0,0
373,John Thomas,832560,1999,Power Forward and Center,55,8.7,-0.3,25.0,2
374,Kenny Thomas,823440,1999,Power Forward,72,24.9,7.9,22.0,0
375,Tim Thomas,2098560,1999,Power Forward and Small Forward,80,26.2,9.1,7.0,2
376,Robert Traylor,2059320,1999,Power Forward and Center,44,10.1,6.7,6.0,1
377,Mirsad Turkcan,830745,1999,Power Forward,17,5.2,7.4,18.0,1
378,Keith Van Horn,3451920,1999,Power Forward and Small Forward,80,34.9,12.0,2.0,2
379,Jacque Vaughn,781800,1999,Shooting Guard and Point Guard,78,11.3,7.0,27.0,2
380,Antoine Walker,9000000,1999,Power Forward,82,36.6,11.8,6.0,3
381,Samaki Walker,2716667,1999,Power Forward and Center,71,13.8,9.2,9.0,3
382,John Wallace,2000000,1999,Small Forward,60,13.3,8.9,18.0,3
383,Bonzi Wells,1428720,1999,Small Forward and Shooting Guard,66,17.6,10.8,11.0,1
384,Jahidi White,385000,1999,Power Forward and Center,80,19.2,9.6,43.0,1
385,Alvin Williams,1925000,1999,Shooting Guard and Point Guard,55,14.1,8.4,47.0,2
386,Jason Williams,1879920,1999,Point Guard,81,34.0,8.2,7.0,1
387,Jerome Williams,2550000,1999,Power Forward and Small Forward,82,25.7,14.6,26.0,3
388,Shammond Williams,500000,1999,Point Guard and Shooting Guard,43,11.9,7.9,34.0,1
389,Metta World Peace,1079760,1999,Small Forward,72,31.1,9.9,16.0,0
390,Lorenzen Wright,4400000,1999,Center,75,16.0,7.2,7.0,3
391,Tim Young,301875,1999,Center,25,5.5,6.1,56.0,0
392,Tariq Abdul-Wahad,4500000,2000,Shooting Guard,29,14.5,2.9,11.0,3
393,Shareef Abdur-Rahim,10130000,2000,Center and Small Forward and Power Forward,81,40.0,13.6,3.0,4
394,Courtney Alexander,1319400,2000,Point Guard and Shooting Guard,65,21.1,6.2,13.0,0
395,Ray Allen,10130000,2000,Shooting Guard,82,38.2,14.8,5.0,4
396,Rafer Alston,423500,2000,Point Guard,37,7.7,9.0,39.0,2
397,Derek Anderson,2250000,2000,Shooting Guard and Small Forward and Point Guard,82,34.9,11.5,13.0,3
398,Shandon Anderson,2200000,2000,Small Forward and Shooting Guard,82,29.2,7.6,54.0,4
399,William Avery,1286160,2000,Point Guard,55,8.4,5.9,14.0,1
400,Dalibor Bagaric,795000,2000,Center,35,7.4,-1.2,24.0,0
401,Erick Barkley,712200,2000,Point Guard,8,4.7,6.6,28.0,0
402,Maceo Baston,423500,2000,Power Forward,0,0.0,0.0,58.0,2
403,Tony Battie,3200000,2000,Center and Power Forward,40,21.1,10.2,5.0,3
404,Jonathan Bender,2380680,2000,Small Forward,59,9.7,4.1,5.0,1
405,Corey Benjamin,749160,2000,Shooting Guard and Point Guard,65,13.2,3.7,28.0,2
406,Mike Bibby,3308160,2000,Point Guard,82,38.9,12.4,2.0,2
407,Chauncey Billups,2250000,2000,Point Guard and Shooting Guard,77,23.3,9.1,3.0,3
408,Mark Blount,316969,2000,Center,64,17.2,5.2,54.0,3
409,Calvin Booth,423500,2000,Center,55,16.9,9.2,35.0,1
410,Cal Bowdler,1102800,2000,Small Forward and Power Forward,44,8.5,8.3,17.0,1
411,Ryan Bowen,510000,2000,Small Forward and Power Forward and Shooting Guard,57,12.2,6.5,55.0,2
412,Torraye Braggs,316969,2000,Power Forward,0,0.0,0.0,57.0,2
413,Elton Brand,3629160,2000,Power Forward and Center,74,39.3,13.6,1.0,1
414,Kobe Bryant,10130000,2000,Shooting Guard and Small Forward,68,41.0,16.0,13.0,4
415,Greg Buckner,1100000,2000,Shooting Guard and Small Forward,37,22.2,6.7,53.0,2
416,Rodney Buford,423500,2000,Shooting Guard and Small Forward,47,12.2,6.5,53.0,1
417,Marcus Camby,5750000,2000,Center and Power Forward,63,33.8,15.7,2.0,4
418,Brian Cardinal,316969,2000,Power Forward and Small Forward,15,8.3,-1.1,44.0,0
419,Vince Carter,2425440,2000,Small Forward and Shooting Guard,75,39.7,15.0,5.0,2
420,Kelvin Cato,5330000,2000,Center and Power Forward,35,17.8,7.6,15.0,3
421,Keon Clark,1379400,2000,Power Forward and Center,81,21.2,8.9,13.0,2
422,Speedy Claxton,936000,2000,Point Guard,0,0.0,0.0,20.0,0
423,Mateen Cleaves,1253400,2000,Point Guard,78,16.2,6.7,14.0,0
424,Jason Collier,1190760,2000,Center,23,9.5,3.4,15.0,0
425,Chris Crawford,2200000,2000,Power Forward,47,19.2,4.9,50.0,3
426,Jamal Crawford,1762320,2000,Shooting Guard and Point Guard,61,17.2,6.4,8.0,0
427,Austin Croshere,5300000,2000,Power Forward,81,23.1,9.4,12.0,3
428,Vonteego Cummings,757200,2000,Point Guard,66,22.7,5.9,26.0,1
429,Erick Dampier,5610000,2000,Center,43,24.2,5.3,10.0,4
430,Antonio Daniels,2820000,2000,Shooting Guard and Point Guard,79,26.1,10.6,4.0,3
431,Baron Davis,2916000,2000,Point Guard,82,38.9,11.5,3.0,1
432,Ricky Davis,939360,2000,Small Forward and Shooting Guard,7,10.2,11.8,21.0,2
433,Tony Delk,2250000,2000,Shooting Guard and Point Guard,82,27.9,8.7,16.0,4
434,Derrick Dial,423500,2000,Shooting Guard,33,6.2,7.9,52.0,2
435,Michael Dickerson,1310400,2000,Shooting Guard,70,37.4,7.2,14.0,2
436,Michael Doleac,1452000,2000,Center,77,18.1,5.7,12.0,2
437,Keyon Dooling,1538880,2000,Shooting Guard and Point Guard,76,16.3,8.4,10.0,0
438,Bryce Drew,1182600,2000,Point Guard,48,27.2,5.0,16.0,2
439,Tim Duncan,9660000,2000,Center and Power Forward,82,38.7,17.0,1.0,3
440,Obinna Ekezie,423500,2000,Center and Power Forward,34,8.3,6.8,37.0,1
441,Khalid El-Amin,316969,2000,Point Guard,50,18.7,8.2,34.0,0
442,Evan Eschmeyer,423500,2000,Center,74,18.0,5.9,34.0,1
443,Jamie Feick,2200000,2000,Power Forward and Center,6,24.8,9.7,48.0,4
444,Derek Fisher,3380000,2000,Point Guard and Shooting Guard,20,35.5,9.0,24.0,4
445,Marcus Fizer,2562000,2000,Small Forward and Power Forward,72,22.0,7.7,4.0,0
446,Danny Fortson,3950000,2000,Center and Power Forward,6,33.8,20.4,10.0,3
447,Jeff Foster,922080,2000,Center,71,16.3,9.2,21.0,1
448,Adonal Foyle,3580000,2000,Center,58,25.2,7.5,8.0,3
449,Steve Francis,3246960,2000,Shooting Guard and Point Guard,80,39.9,13.9,2.0,1
450,Todd Fuller,611000,2000,Center,10,7.6,5.1,11.0,4
451,Pat Garrity,1019280,2000,Power Forward and Small Forward,76,20.8,5.2,19.0,2
452,Devean George,849720,2000,Small Forward,59,10.0,2.3,23.0,1
453,Dion Glover,960480,2000,Shooting Guard,57,16.3,7.3,20.0,1
454,A.J. Guyton,316969,2000,Point Guard,33,19.0,7.1,32.0,0
455,Richard Hamilton,1973880,2000,Small Forward and Shooting Guard,78,32.3,9.7,7.0,1
456,Matt Harpring,1244880,2000,Shooting Guard and Small Forward,56,28.8,8.1,15.0,2
457,Al Harrington,797880,2000,Power Forward and Center and Small Forward,78,24.3,6.9,25.0,2
458,Othella Harrington,2250000,2000,Center and Power Forward,74,24.5,7.3,30.0,4
459,Jason Hart,316969,2000,Point Guard,1,9.9,4.5,49.0,0
460,Donnell Harvey,862560,2000,Power Forward and Small Forward,18,3.5,3.8,22.0,0
461,Cedric Henderson,2700000,2000,Small Forward,55,17.5,3.3,44.0,3
462,Chris Herren,316969,2000,Point Guard,25,16.3,3.0,33.0,1
463,Eddie House,316969,2000,Shooting Guard and Point Guard,50,10.9,7.3,37.0,0
464,Larry Hughes,1842480,2000,Shooting Guard and Point Guard and Small Forward,50,36.9,8.6,8.0,2
465,Zydrunas Ilgauskas,10130000,2000,Center,24,25.6,10.7,20.0,4
466,Allen Iverson,10130000,2000,Shooting Guard and Point Guard,71,41.9,15.5,1.0,4
467,Bobby Jackson,2250000,2000,Shooting Guard and Point Guard,79,20.9,9.9,23.0,3
468,Marc Jackson,316969,2000,Power Forward and Center,48,29.3,10.4,37.0,3
469,Stephen Jackson,316969,2000,Small Forward and Shooting Guard and Power Forward,77,21.6,7.8,42.0,3
470,Sam Jacobson,498500,2000,Point Guard,14,4.1,1.1,26.0,2
471,Sam Jacobson,270000,2000,Point Guard,14,4.1,1.1,26.0,2
472,Tim James,783120,2000,Small Forward,30,6.6,2.1,25.0,1
473,Antawn Jamison,2678400,2000,Power Forward and Small Forward,82,41.4,11.8,4.0,2
474,Anthony Johnson,1200000,2000,Point Guard and Shooting Guard,53,9.6,5.0,39.0,3
475,DerMarr Johnson,2107200,2000,Shooting Guard and Small Forward,78,16.8,4.4,6.0,0
476,Jumaine Jones,735600,2000,Small Forward and Shooting Guard and Power Forward,65,13.3,10.2,27.0,1
477,Lari Ketner,423500,2000,Power Forward,3,2.0,-5.1,49.0,1
478,Kerry Kittles,7770000,2000,Shooting Guard,0,0.0,0.0,8.0,4
479,Brevin Knight,4250000,2000,Point Guard,53,27.6,8.6,16.0,3
480,Travis Knight,3200000,2000,Center,45,5.7,-4.3,29.0,4
481,Raef LaFrentz,2970840,2000,Power Forward and Center,78,31.5,10.4,3.0,2
482,Trajan Langdon,1500120,2000,Shooting Guard,65,17.2,7.2,11.0,1
483,Dan Langhi,316969,2000,Small Forward,33,7.3,5.0,31.0,0
484,Quincy Lewis,1000440,2000,Shooting Guard and Small Forward,35,11.4,2.4,19.0,1
485,Rashard Lewis,3920000,2000,Small Forward and Power Forward,78,34.9,11.2,32.0,2
486,Randy Livingston,20000,2000,Point Guard,2,3.3,0.0,42.0,4
487,Felipe Lopez,831120,2000,Shooting Guard and Point Guard,70,22.4,8.1,24.0,2
488,Tyronn Lue,865800,2000,Point Guard,38,12.3,5.5,23.0,2
489,Todd MacCulloch,423500,2000,Center,63,9.5,10.4,47.0,1
490,Mark Madsen,707040,2000,Center and Power Forward,70,9.1,4.4,29.0,0
491,Corey Maggette,1353960,2000,Power Forward and Shooting Guard and Small Forward,69,19.7,12.4,13.0,1
492,Jamaal Magloire,975000,2000,Center,74,14.8,8.4,19.0,0
493,Stephon Marbury,10130000,2000,Point Guard,67,38.2,14.9,4.0,4
494,Shawn Marion,1662240,2000,Small Forward and Power Forward,79,36.2,16.9,9.0,1
495,Kenyon Martin,3536640,2000,Power Forward and Center,68,33.4,8.4,1.0,0
496,Desmond Mason,1074720,2000,Small Forward and Shooting Guard,78,19.5,6.7,17.0,0
497,Walter McCarty,2670000,2000,Small Forward and Power Forward,60,7.9,4.8,19.0,4
498,Jelani McCoy,1110000,2000,Center,70,16.3,6.3,33.0,2
499,Tracy McGrady,9660000,2000,Shooting Guard and Small Forward,77,40.2,17.1,9.0,3
500,Jeff McInnis,523500,2000,Point Guard and Shooting Guard,81,34.9,10.6,37.0,4
501,Roshown McLeod,978600,2000,Small Forward,35,26.2,7.0,20.0,2
502,Ron Mercer,5520000,2000,Small Forward and Shooting Guard,61,41.5,9.9,6.0,3
503,Chris Mihm,1923600,2000,Power Forward and Center,59,19.7,6.9,7.0,0
504,Darius Miles,2841720,2000,Small Forward,81,26.4,9.7,3.0,0
505,Andre Miller,1808400,2000,Point Guard and Shooting Guard,82,34.7,14.2,8.0,1
506,Mike Miller,2320080,2000,Shooting Guard and Small Forward,82,29.1,9.0,5.0,0
507,Cuttino Mobley,3920000,2000,Shooting Guard and Point Guard,79,38.1,11.4,41.0,2
508,Nazr Mohammed,739080,2000,Center,58,15.8,11.2,29.0,2
509,Jerome Moiso,1461960,2000,Center and Power Forward,24,5.7,-0.4,11.0,0
510,Hanno Mottola,316969,2000,Small Forward and Center,73,13.5,3.8,40.0,0
511,Lee Nailon,316969,2000,Small Forward and Power Forward,42,11.1,9.3,43.0,1
512,Eduardo Najera,316969,2000,Power Forward and Small Forward,40,10.8,8.0,38.0,0
513,Steve Nash,5500000,2000,Point Guard,70,34.1,13.3,15.0,4
514,Rasho Nesterovic,1123560,2000,Center,73,17.0,5.4,17.0,2
515,Moochie Norris,523500,2000,Point Guard,82,20.1,11.9,33.0,4
516,Dirk Nowitzki,1693560,2000,Power Forward and Center,82,38.1,15.9,9.0,2
517,Jermaine O'Neal,5710000,2000,Power Forward and Center,81,32.6,11.8,17.0,4
518,Lamar Odom,2628960,2000,Small Forward and Power Forward,76,37.2,13.9,4.0,1
519,Michael Olowokandi,3697440,2000,Center,82,25.9,5.9,1.0,2
520,Olumide Oyedeji,316969,2000,Center,30,7.3,6.5,42.0,0
521,Scott Padgett,730800,2000,Power Forward,27,4.7,11.5,28.0,1
522,Ruben Patterson,990000,2000,Shooting Guard and Small Forward,76,27.1,11.0,31.0,2
523,Morris Peterson,898560,2000,Small Forward and Shooting Guard,80,22.6,7.7,21.0,0
524,Paul Pierce,1608840,2000,Shooting Guard and Small Forward,82,38.1,14.7,10.0,2
525,Scot Pollard,3920000,2000,Center,77,21.6,10.0,19.0,3
526,Mark Pope,498500,2000,Small Forward and Power Forward,63,14.9,2.7,52.0,4
527,Chris Porter,316969,2000,Small Forward,51,22.5,5.2,55.0,0
528,James Posey,1047600,2000,Power Forward and Shooting Guard and Small Forward,82,27.5,7.9,18.0,1
529,Lavor Postell,316969,2000,Shooting Guard,26,6.5,4.9,39.0,0
530,Vitaly Potapenko,4290000,2000,Center,82,23.2,8.2,12.0,4
531,Laron Profit,508000,2000,Small Forward and Shooting Guard and Point Guard,35,17.3,7.4,38.0,1
532,Joel Przybilla,1619880,2000,Center,33,8.1,0.4,9.0,0
533,Aleksandar Radojevic,1425120,2000,Center,0,0.0,0.0,12.0,1
534,Michael Redd,316969,2000,Shooting Guard and Small Forward,6,5.8,-2.5,43.0,0
535,Quentin Richardson,1020960,2000,Shooting Guard and Small Forward,76,17.8,10.1,18.0,0
536,Malik Rose,2570000,2000,Small Forward and Power Forward,57,21.4,9.6,44.0,4
537,Michael Ruffin,440000,2000,Center and Power Forward,45,19.5,6.1,32.0,1
538,Soumaila Samake,316969,2000,Center,34,6.6,4.6,36.0,0
539,Ansu Sesay,508000,2000,Small Forward,0,0.0,0.0,30.0,2
540,Brian Skinner,901800,2000,Center and Power Forward,39,14.9,7.3,22.0,2
541,Jabari Smith,316969,2000,Center and Power Forward,9,7.3,8.4,45.0,0
542,Leon Smith,483680,2000,Center,0,0.0,0.0,29.0,1
543,Mike Smith,316969,2000,Small Forward,17,10.6,3.9,35.0,0
544,Vladimir Stepania,749160,2000,Center,29,9.6,10.3,27.0,2
545,DeShawn Stevenson,828120,2000,Small Forward and Shooting Guard,40,7.4,1.6,23.0,0
546,Peja Stojakovic,1480000,2000,Small Forward,75,38.7,12.0,14.0,4
547,Bruno Sundov,498500,2000,Center,11,11.1,5.9,35.0,2
548,Bruno Sundov,498500,2000,Center,11,11.1,5.9,35.0,2
549,Stromile Swift,3164280,2000,Power Forward and Center,80,16.4,6.7,2.0,0
550,Wally Szczerbiak,2162280,2000,Small Forward,82,34.8,10.4,6.0,1
551,Maurice Taylor,2250000,2000,Small Forward and Center and Power Forward,69,28.5,9.4,14.0,3
552,Jason Terry,1579080,2000,Point Guard and Shooting Guard,82,37.7,11.5,10.0,1
553,Etan Thomas,1388880,2000,Power Forward and Center,0,0.0,0.0,12.0,0
554,Kenny Thomas,885120,2000,Power Forward,74,24.6,7.6,22.0,1
555,Tim Thomas,8510000,2000,Power Forward and Small Forward,76,27.4,9.8,7.0,3
556,Robert Traylor,2203080,2000,Power Forward and Center,70,17.3,7.4,6.0,2
557,Jake Tsakalidis,763200,2000,Center,57,16.6,5.4,25.0,0
558,Hedo Turkoglu,1131240,2000,Power Forward and Small Forward,74,16.9,7.6,16.0,0
559,Keith Van Horn,9000000,2000,Power Forward and Small Forward,49,35.3,10.1,2.0,3
560,Jacque Vaughn,1500000,2000,Shooting Guard and Point Guard,82,19.8,10.5,27.0,3
561,Jake Voskuhl,316969,2000,Center,16,9.0,0.3,33.0,0
562,Antoine Walker,10130000,2000,Power Forward,81,41.9,13.8,6.0,4
563,Samaki Walker,2960000,2000,Power Forward and Center,61,15.8,8.1,9.0,4
564,John Wallace,2200000,2000,Small Forward,40,13.2,6.5,18.0,4
565,Bonzi Wells,1528440,2000,Small Forward and Shooting Guard,75,26.6,12.2,11.0,2
566,Jahidi White,3922000,2000,Power Forward and Center,68,23.6,8.6,43.0,2
567,Alvin Williams,2100000,2000,Shooting Guard and Point Guard,82,29.2,10.2,47.0,3
568,Jason Williams,2011080,2000,Point Guard,77,29.7,8.3,7.0,2
569,Jerome Williams,2870000,2000,Power Forward and Small Forward,59,20.0,12.4,26.0,4
570,Shammond Williams,550000,2000,Point Guard and Shooting Guard,69,18.0,10.5,34.0,2
571,Metta World Peace,1160760,2000,Small Forward,76,31.1,8.2,16.0,1
572,Lorenzen Wright,4950000,2000,Center,71,28.0,10.1,7.0,4
573,Tariq Abdul-Wahad,5062500,2001,Shooting Guard,24,18.4,4.4,11.0,4
574,Shareef Abdur-Rahim,11250000,2001,Center and Small Forward and Power Forward,77,38.7,13.9,3.0,5
575,Courtney Alexander,1418400,2001,Point Guard and Shooting Guard,56,23.6,8.6,13.0,1
576,Ray Allen,11250000,2001,Shooting Guard,69,36.6,13.7,5.0,5
577,Rafer Alston,625000,2001,Point Guard,50,11.9,10.4,39.0,3
578,Derek Anderson,6495000,2001,Shooting Guard and Small Forward and Point Guard,70,26.5,10.4,13.0,4
579,Shandon Anderson,5500000,2001,Small Forward and Shooting Guard,82,19.5,6.4,54.0,5
580,Gilbert Arenas,332817,2001,Point Guard,47,24.5,10.4,30.0,0
581,Brandon Armstrong,865800,2001,Shooting Guard,35,5.6,-1.2,23.0,0
582,William Avery,1375920,2001,Point Guard,28,9.3,3.8,14.0,2
583,Dalibor Bagaric,854640,2001,Center,50,12.7,3.9,24.0,1
584,Erick Barkley,638000,2001,Point Guard,19,11.9,5.9,28.0,1
585,Tony Battie,3600000,2001,Center and Power Forward,74,24.6,9.3,5.0,4
586,Shane Battier,2203080,2001,Small Forward and Shooting Guard,78,39.7,8.3,6.0,0
587,Jonathan Bender,2546760,2001,Small Forward,78,21.1,6.9,5.0,2
588,Mike Bibby,4174893,2001,Point Guard,80,33.2,9.7,2.0,3
589,Chauncey Billups,2475000,2001,Point Guard and Shooting Guard,82,28.7,11.7,3.0,4
590,Mark Blount,540850,2001,Center,44,9.4,5.0,54.0,4
591,Calvin Booth,4539000,2001,Center,15,18.5,5.7,35.0,2
592,Ruben Boumtje-Boumtje,332817,2001,Center,33,7.4,2.1,49.0,0
593,Cal Bowdler,1179720,2001,Small Forward and Power Forward,52,11.2,5.0,17.0,2
594,Ryan Bowen,630850,2001,Small Forward and Power Forward and Shooting Guard,75,22.5,6.6,55.0,3
595,Michael Bradley,1123560,2001,Power Forward and Center,26,4.5,6.5,17.0,0
596,Elton Brand,3882360,2001,Power Forward and Center,80,37.7,15.1,1.0,2
597,Jamison Brewer,332817,2001,Shooting Guard and Point Guard,13,3.2,10.5,40.0,0
598,Primoz Brezec,749160,2001,Center,22,7.3,2.9,27.0,1
599,Damone Brown,332817,2001,Power Forward and Small Forward,17,3.8,-2.4,36.0,0
600,Ernest Brown,332817,2001,Center,3,7.1,-11.7,52.0,1
601,Kedrick Brown,1528440,2001,Small Forward,29,8.5,7.8,11.0,0
602,Kwame Brown,3697440,2001,Center and Power Forward,57,14.3,7.1,1.0,0
603,Kobe Bryant,11250000,2001,Shooting Guard and Small Forward,80,38.3,15.6,13.0,5
604,Greg Buckner,1200000,2001,Shooting Guard and Small Forward,44,20.1,6.9,53.0,3
605,Rodney Buford,481488,2001,Shooting Guard and Small Forward,63,28.1,7.3,53.0,2
606,Marcus Camby,7300000,2001,Center and Power Forward,29,34.8,10.8,2.0,5
607,Brian Cardinal,465850,2001,Power Forward and Small Forward,8,5.3,9.7,44.0,1
608,Vince Carter,3073032,2001,Small Forward and Shooting Guard,60,39.8,12.5,5.0,3
609,Kelvin Cato,6048000,2001,Center and Power Forward,75,25.6,9.1,15.0,4
610,Tyson Chandler,3308160,2001,Center and Power Forward,71,19.6,7.2,2.0,0
611,Keon Clark,1971163,2001,Power Forward and Center,81,27.0,11.5,13.0,3
612,Speedy Claxton,1006200,2001,Point Guard,67,22.8,8.8,20.0,1
613,Mateen Cleaves,1347480,2001,Point Guard,32,4.8,6.3,14.0,1
614,Jason Collier,1280040,2001,Center,25,14.5,6.7,15.0,1
615,Jarron Collins,332817,2001,Center,70,20.6,5.9,52.0,0
616,Jason Collins,1067400,2001,Power Forward and Center,77,18.2,7.0,18.0,0
617,Omar Cook,292230,2001,Point Guard,0,0.0,0.0,31.0,0
618,Chris Crawford,2500000,2001,Power Forward,7,18.7,7.4,50.0,4
619,Jamal Crawford,1894560,2001,Shooting Guard and Point Guard,23,20.9,9.8,8.0,1
620,Austin Croshere,6310000,2001,Power Forward,76,16.9,11.1,12.0,4
621,Vonteego Cummings,810000,2001,Point Guard,58,8.5,7.7,26.0,2
622,Eddy Curry,2678400,2001,Power Forward and Center,72,16.0,7.5,4.0,0
623,Samuel Dalembert,771480,2001,Center,34,5.2,8.0,26.0,0
624,Erick Dampier,6235000,2001,Center,73,23.8,5.4,10.0,5
625,Antonio Daniels,3000000,2001,Shooting Guard and Point Guard,82,26.5,9.7,4.0,4
626,Baron Davis,3119400,2001,Point Guard,82,40.5,12.1,3.0,2
627,Ricky Davis,1496400,2001,Small Forward and Shooting Guard,82,23.9,10.7,21.0,3
628,Tony Delk,2475000,2001,Shooting Guard and Point Guard,63,23.0,9.0,16.0,5
629,Derrick Dial,540850,2001,Shooting Guard,32,9.3,10.8,52.0,3
630,Michael Dickerson,1940702,2001,Shooting Guard,4,31.4,2.6,14.0,3
631,DeSagana Diop,1842480,2001,Power Forward and Center,18,6.1,-0.4,8.0,0
632,Michael Doleac,2000856,2001,Center,42,16.9,5.5,12.0,3
633,Keyon Dooling,1654320,2001,Shooting Guard and Point Guard,14,11.2,2.5,10.0,1
634,Bryce Drew,1300000,2001,Point Guard,61,12.7,9.3,16.0,3
635,Predrag Drobnjak,478558,2001,Center,64,18.3,7.6,48.0,4
636,Tim Duncan,10865250,2001,Center and Power Forward,82,40.6,20.7,1.0,4
637,Obinna Ekezie,540850,2001,Center and Power Forward,29,5.1,6.1,37.0,2
638,Evan Eschmeyer,3038000,2001,Center,31,9.6,4.8,34.0,2
639,Derek Fisher,3000000,2001,Point Guard and Shooting Guard,70,28.2,9.0,24.0,5
