,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
273,Ricky Davis,878160,1999,Small Forward and Shooting Guard,48,11.9,9.9,21.0,1
274,Tony Delk,485000,1999,Shooting Guard and Point Guard,46,14.8,9.2,16.0,3
275,Derrick Dial,301875,1999,Shooting Guard,8,11.9,7.5,52.0,1
276,Michael Dickerson,1224960,1999,Shooting Guard,82,37.9,9.1,14.0,1
277,Michael Doleac,1357320,1999,Center,81,16.5,8.7,12.0,1
278,Bryce Drew,1105560,1999,Point Guard,72,17.9,7.3,16.0,1
279,Tim Duncan,3858240,1999,Center and Power Forward,74,38.9,18.3,1.0,2
280,Obinna Ekezie,301875,1999,Center and Power Forward,39,9.1,6.2,37.0,0
281,Evan Eschmeyer,301875,1999,Center,31,12.1,5.2,34.0,0
282,Jamie Feick,2000000,1999,Power Forward and Center,81,27.7,9.3,48.0,3
283,Derek Fisher,3000000,1999,Point Guard and Shooting Guard,78,23.1,6.7,24.0,3
284,Danny Fortson,1678800,1999,Center and Power Forward,55,15.6,13.7,10.0,2
285,Jeff Foster,857760,1999,Center,19,4.5,14.7,21.0,0
286,Adonal Foyle,1922520,1999,Center,76,21.7,6.7,8.0,2
287,Steve Francis,3020520,1999,Shooting Guard and Point Guard,77,36.0,11.9,2.0,0
288,Todd Fuller,485000,1999,Center,41,9.8,6.4,11.0,3
289,Pat Garrity,952800,1999,Power Forward and Small Forward,82,18.1,7.2,19.0,1
290,Devean George,790440,1999,Small Forward,49,7.0,6.7,23.0,0
291,Dion Glover,893400,1999,Shooting Guard,30,14.9,6.4,20.0,0
292,Paul Grant,1021080,1999,Center,0,0.0,0.0,20.0,2
293,Richard Hamilton,1836240,1999,Small Forward and Shooting Guard,71,19.3,6.4,7.0,0
294,Matt Harpring,1163760,1999,Shooting Guard and Small Forward,4,15.8,10.0,15.0,1
295,Al Harrington,745800,1999,Power Forward and Center and Small Forward,50,17.1,6.2,25.0,1
296,Othella Harrington,2025000,1999,Center and Power Forward,82,32.6,8.3,30.0,3
297,Cedric Henderson,2400000,1999,Small Forward,61,18.1,4.8,44.0,2
298,Mark Hendrickson,62764,1999,Power Forward,15,4.7,12.0,31.0,3
299,Chris Herren,301875,1999,Point Guard,45,13.2,6.3,33.0,0
300,Larry Hughes,1722240,1999,Shooting Guard and Point Guard and Small Forward,82,28.4,9.5,8.0,1
301,Zydrunas Ilgauskas,9000000,1999,Center,0,0.0,0.0,20.0,3
302,Allen Iverson,9000000,1999,Shooting Guard and Point Guard,70,40.8,12.6,1.0,3
303,Bobby Jackson,903360,1999,Shooting Guard and Point Guard,73,14.2,9.8,23.0,2
304,Sam Jacobson,721080,1999,Point Guard,52,13.0,5.1,26.0,1
305,Sam Jacobson,22647,1999,Point Guard,52,13.0,5.1,26.0,1
306,Tim James,728520,1999,Small Forward,4,5.9,5.9,25.0,0
307,Antawn Jamison,2503800,1999,Power Forward and Small Forward,43,36.3,10.3,4.0,1
308,Anthony Johnson,1100000,1999,Point Guard and Shooting Guard,56,11.4,4.9,39.0,2
309,DeMarco Johnson,111871,1999,Power Forward,5,7.1,-1.7,38.0,1
310,Jumaine Jones,684000,1999,Small Forward and Shooting Guard and Power Forward,33,4.2,9.4,27.0,0
311,Lari Ketner,92338,1999,Power Forward,22,6.0,4.5,49.0,0
312,Andrei Kirilenko,632400,1999,Small Forward and Power Forward,0,0.0,0.0,24.0,0
313,Kerry Kittles,7166666,1999,Shooting Guard,62,30.6,10.1,8.0,3
314,Brevin Knight,1234080,1999,Point Guard,65,27.1,11.6,16.0,2
315,Travis Knight,2800000,1999,Center,63,6.5,4.9,29.0,3
316,Raef LaFrentz,2777160,1999,Power Forward and Center,81,30.0,10.1,3.0,1
317,Trajan Langdon,1394280,1999,Shooting Guard,10,14.4,8.0,11.0,0
318,Quincy Lewis,930720,1999,Shooting Guard and Small Forward,74,12.1,1.7,19.0,0
319,Rashard Lewis,385000,1999,Small Forward and Power Forward,82,19.2,10.3,32.0,1
320,Randy Livingston,485000,1999,Point Guard,79,13.6,8.6,42.0,3
321,Tyronn Lue,809280,1999,Point Guard,8,18.4,7.8,23.0,1
322,Todd MacCulloch,301875,1999,Center,56,9.4,9.8,47.0,0
323,Corey Maggette,1259400,1999,Power Forward and Shooting Guard and Small Forward,77,17.8,9.0,13.0,0
324,Stephon Marbury,9000000,1999,Point Guard,74,38.9,13.4,4.0,3
325,Shawn Marion,1546320,1999,Small Forward and Power Forward,51,24.8,12.5,9.0,0
326,Sean Marks,385000,1999,Power Forward and Center,5,2.5,2.7,44.0,1
327,Walter McCarty,2500000,1999,Small Forward and Power Forward,61,14.4,4.2,19.0,3
328,Amal McCaskill,485000,1999,Center,0,0.0,0.0,49.0,3
